fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
171677,cereals,"cereals, whole wheat hot natural cereal, cooked with water, with salt",62.0,2.0,0.4,13.7,0.08,1.6,233.0,71.0,69.0,cereals,,unknown,unmatched
171678,cereals,"cereals, ready-to-eat, malt-o-meal, blueberry mini spooners",350.0,8.81,1.92,79.4,18.44,10.3,2.0,327.0,331.0,cereals,,unknown,unmatched
171679,cereals ready-to-eat,"cereals ready-to-eat, malt-o-meal, oat blenders with honey",396.0,6.78,4.17,84.94,21.62,5.0,515.0,200.0,133.0,cereals ready-to-eat,,unknown,unmatched
171680,cereals ready-to-eat,"cereals ready-to-eat, malt-o-meal, oat blenders with honey & almonds",379.0,7.8,4.88,77.26,20.26,6.1,453.0,240.0,204.0,cereals ready-to-eat,,unknown,unmatched
171681,cereals ready-to-eat,"cereals ready-to-eat, malt-o-meal, honey nut scooters",387.0,8.59,4.51,79.62,29.97,6.3,695.0,241.0,318.0,cereals ready-to-eat,,unknown,unmatched
171682,cereals,"cereals, quaker, instant oatmeal, cinnamon swirl, high fiber",366.0,8.79,4.8,75.67,14.7,22.3,473.0,256.0,306.0,cereals,,unknown,unmatched
171683,cereals,"cereals, quaker, oatmeal, real medleys, blueberry hazelnut, dry",386.0,9.81,9.8,69.47,18.71,7.7,337.0,317.0,287.0,cereals,,unknown,unmatched
171684,cereals,"cereals, quaker, oatmeal, real medleys, apple walnut, dry",390.0,8.18,10.36,70.53,29.36,7.0,356.0,344.0,239.0,cereals,,unknown,unmatched
171685,cereals,"cereals, quaker, oatmeal, real medleys, summer berry, dry",353.0,11.31,4.4,72.58,20.43,8.5,354.0,445.0,358.0,cereals,,unknown,unmatched
171686,acerola,"acerola, (west indian cherry), raw",32.0,0.4,0.3,7.69,0.0,1.1,7.0,146.0,11.0,acerola,,unknown,unmatched
171697,apricots,"apricots, raw",48.0,1.4,0.39,11.12,9.24,2.0,1.0,259.0,23.0,apricots,,unknown,unmatched
